geography,Household Deprivation: Household is not deprived in any dimension; measures: Value,Household Deprivation: Household is deprived in 1 dimension; measures: Value,Household Deprivation: Household is deprived in 2 dimensions; measures: Value,Household Deprivation: Household is deprived in 3 dimensions; measures: Value,Household Deprivation: Household is deprived in 4 dimensions; measures: Value
BN26 6,946,867,548,85,6
BN27 1,1181,969,465,51,3
BN27 2,680,766,606,166,14
BN27 3,1821,1674,979,148,11
BN27 4,858,605,270,46,6
BN3  1,2384,2163,890,282,56
BN3  2,1718,1472,629,167,32
BN3  3,2994,2459,1277,398,64
BN3  4,1678,1113,554,155,35
BN3  5,2553,1433,913,267,50
BN3  6,2620,1347,510,113,12
BN3  7,1736,1292,743,211,29
BN3  8,1213,1150,771,218,23
BN41 1,1115,864,524,168,20
BN41 2,2471,1906,1170,314,26
BN42 4,1639,1458,923,185,20
BN43 5,2685,1668,721,109,18
BN43 6,1855,1625,985,275,28
BN44 3,2221,1461,608,117,9
BN45 7,149,83,35,6,0
BN5  9,1490,1033,436,86,6
BN6  8,1981,1255,501,57,0
BN6  9,1943,1047,411,73,6
BN7  1,1978,1033,380,103,10
BN7  2,1729,1245,670,172,16
BN7  3,914,519,162,30,1
BN8  4,1285,736,289,47,4
BN8  5,1330,796,393,55,3
BN8  6,946,490,199,38,0
BN9  0,673,542,360,66,9
BN9  9,1553,1433,893,250,37
BR1  1,125,72,35,5,2
BR1  2,2607,1326,475,114,15
BR1  3,2967,1739,798,230,26
BR1  4,2382,1921,1244,408,44
BR1  5,2274,2385,1587,540,46
BR2  0,2945,1746,647,128,10
BR2  6,516,312,97,17,2
BR2  7,1874,1131,402,84,4
BR2  8,1886,1410,805,220,20
BR2  9,2445,1486,626,165,24
BR3  1,2318,1334,634,192,13
BR3  3,2664,1469,655,108,9
BR3  4,2927,1667,891,204,22
BR3  5,2047,1091,374,66,8
BR3  6,1399,711,255,31,4
BR4  0,1870,1046,367,60,2
BR4  9,2027,1214,530,98,0
BR5  1,2624,1446,553,60,1
BR5  2,1804,1816,1194,427,38
BR5  3,1474,1528,1054,318,36
BR5  4,1515,1598,1035,244,29
BR6  0,1956,1245,668,122,19
BR6  6,1470,796,328,58,4
BR6  7,1573,1161,579,104,7
BR6  8,1712,1121,421,36,2
BR6  9,3062,1921,796,135,6
BR7  5,1725,838,252,27,3
BR7  6,2125,1355,632,109,7
BR8  7,2371,2183,1411,335,20
BR8  8,1308,979,479,67,2
BS1  1,136,233,57,5,0
BS1  2,32,59,14,3,0
BS1  3,162,513,136,19,6
BS1  4,101,150,41,9,3
BS1  5,562,681,169,49,10
BS1  6,920,835,414,171,40
BS10 5,1345,1184,902,279,27
BS10 6,1721,1410,1040,265,17
BS10 7,1287,1178,836,230,26
BS11 0,1146,1542,1125,362,27
BS11 9,1241,1044,735,193,13
BS13 0,615,1073,1066,424,49
BS13 7,1320,1219,766,134,13
BS13 8,912,1094,882,272,22
BS13 9,612,881,836,343,25
BS14 0,1594,1224,606,91,2
BS14 8,1164,1187,819,231,10
BS14 9,1868,1639,1134,286,29
BS15 1,2162,1730,929,224,25
BS15 3,1728,1185,662,106,11
BS15 4,1864,1652,1067,194,14
BS15 8,1326,1025,689,162,22
BS15 9,1528,1077,589,146,12
BS16 1,2136,1264,683,144,8
BS16 2,1668,1221,761,229,27
